frameNumber,captureTime,arrivalTime
74,2026-07-20T08:43:07.925385+00:00,1784536990.7065997
75,2026-07-20T08:43:07.960340+00:00,1784536990.7591136
76,2026-07-20T08:43:07.995476+00:00,1784536990.812912
77,2026-07-20T08:43:08.030810+00:00,1784536990.8668158
78,2026-07-20T08:43:08.066298+00:00,1784536990.9192717
79,2026-07-20T08:43:08.101788+00:00,1784536990.975036
80,2026-07-20T08:43:08.136515+00:00,1784536991.0313034
81,2026-07-20T08:43:08.172051+00:00,1784536991.0869942
82,2026-07-20T08:43:08.207062+00:00,1784536991.1414418
83,2026-07-20T08:43:08.243710+00:00,1784536991.1968842
84,2026-07-20T08:43:08.278842+00:00,1784536991.2559104
85,2026-07-20T08:43:08.314068+00:00,1784536991.310317
86,2026-07-20T08:43:08.349131+00:00,1784536991.3646054
87,2026-07-20T08:43:08.384972+00:00,1784536991.4197176
88,2026-07-20T08:43:08.420156+00:00,1784536991.4777083
89,2026-07-20T08:43:08.456523+00:00,1784536991.5395687
90,2026-07-20T08:43:08.491975+00:00,1784536991.5904088
91,2026-07-20T08:43:08.526878+00:00,1784536991.6431546
92,2026-07-20T08:43:08.562111+00:00,1784536991.6953664
93,2026-07-20T08:43:08.597053+00:00,1784536991.750394
94,2026-07-20T08:43:08.634545+00:00,1784536991.8056607
95,2026-07-20T08:43:08.669639+00:00,1784536991.8596
96,2026-07-20T08:43:08.705010+00:00,1784536991.915078
97,2026-07-20T08:43:08.740111+00:00,1784536991.9776964
98,2026-07-20T08:43:08.775100+00:00,1784536992.0346186
99,2026-07-20T08:43:08.810315+00:00,1784536992.0942843
100,2026-07-20T08:43:08.845421+00:00,1784536992.1515918
101,2026-07-20T08:43:08.880650+00:00,1784536992.210757
102,2026-07-20T08:43:08.915864+00:00,1784536992.2711015
103,2026-07-20T08:43:08.951237+00:00,1784536992.3314075
104,2026-07-20T08:43:08.986496+00:00,1784536992.3642273
105,2026-07-20T08:43:09.021777+00:00,1784536992.398892
106,2026-07-20T08:43:09.056805+00:00,1784536992.432463
107,2026-07-20T08:43:09.091925+00:00,1784536992.487812
108,2026-07-20T08:43:09.127153+00:00,1784536992.5434985
109,2026-07-20T08:43:09.162302+00:00,1784536992.60202
110,2026-07-20T08:43:09.198395+00:00,1784536992.6581876
111,2026-07-20T08:43:09.233526+00:00,1784536992.7159634
112,2026-07-20T08:43:09.270487+00:00,1784536992.7710578
113,2026-07-20T08:43:09.305780+00:00,1784536992.828798
114,2026-07-20T08:43:09.340993+00:00,1784536992.8899775
115,2026-07-20T08:43:09.375922+00:00,1784536992.9447553
116,2026-07-20T08:43:09.410736+00:00,1784536992.997719
117,2026-07-20T08:43:09.445940+00:00,1784536993.0493517
118,2026-07-20T08:43:09.480917+00:00,1784536993.1020525
119,2026-07-20T08:43:09.515900+00:00,1784536993.1547182
120,2026-07-20T08:43:09.551323+00:00,1784536993.2154071
121,2026-07-20T08:43:09.586767+00:00,1784536993.2726498
122,2026-07-20T08:43:09.621710+00:00,1784536993.325142
123,2026-07-20T08:43:09.659279+00:00,1784536993.3807542
124,2026-07-20T08:43:09.694412+00:00,1784536993.4452565
125,2026-07-20T08:43:09.729475+00:00,1784536993.501577
126,2026-07-20T08:43:09.764762+00:00,1784536993.5580294
127,2026-07-20T08:43:09.799975+00:00,1784536993.6093433
128,2026-07-20T08:43:09.834964+00:00,1784536993.662257
129,2026-07-20T08:43:09.869928+00:00,1784536993.7146344
130,2026-07-20T08:43:09.906417+00:00,1784536993.76739
131,2026-07-20T08:43:09.941891+00:00,1784536993.826317
132,2026-07-20T08:43:09.977032+00:00,1784536993.8815868
133,2026-07-20T08:43:10.012176+00:00,1784536993.9362605
134,2026-07-20T08:43:10.047216+00:00,1784536993.9890242
135,2026-07-20T08:43:10.085023+00:00,1784536994.0437918
136,2026-07-20T08:43:10.119963+00:00,1784536994.1011713
137,2026-07-20T08:43:10.155098+00:00,1784536994.1586459
138,2026-07-20T08:43:10.189970+00:00,1784536994.2135935
139,2026-07-20T08:43:10.225214+00:00,1784536994.2694902
140,2026-07-20T08:43:10.260404+00:00,1784536994.3231158
141,2026-07-20T08:43:10.295432+00:00,1784536994.3765948
142,2026-07-20T08:43:10.330726+00:00,1784536994.4418497
143,2026-07-20T08:43:10.365821+00:00,1784536994.4976034
144,2026-07-20T08:43:10.401770+00:00,1784536994.5508282
145,2026-07-20T08:43:10.436696+00:00,1784536994.6041446
146,2026-07-20T08:43:10.471950+00:00,1784536994.6556997
147,2026-07-20T08:43:10.506835+00:00,1784536994.7073176
148,2026-07-20T08:43:10.543043+00:00,1784536994.7590966
149,2026-07-20T08:43:10.578321+00:00,1784536994.8205266
